"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","city"
"x240421228","x1069442469626953729",2018-12-03 04:05:28,"cityofmelbourne","@BUSINESSricardo Hi, the Free Tram Zone was introduced in 2015 by @ptv_official. You can find out more info here: https://t.co/kcSulw8QxM 😊","Lexer - Customer Engagement Hub",122,"x1067676515406475264","x162977306","BUSINESSricardo",FALSE,FALSE,1,0,,,"ptv.vic.gov.au/tickets/fares/…","https://t.co/kcSulw8QxM","https://www.ptv.vic.gov.au/tickets/fares/zones/#FTZ",,,,,,,,,"x162977306 x568846314","BUSINESSricardo ptv_official","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069442469626953729","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1069440914609790976",2018-12-03 03:59:17,"cityofmelbourne","@pixeltoofar Hi Andrew, to clarify - are you talking about traffic lights being operational on closed roads?","Lexer - Customer Engagement Hub",95,"x1069435966270525440","x244480670","pixeltoofar",FALSE,FALSE,2,0,,,,,,,,,,,,,,"x244480670","pixeltoofar","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069440914609790976","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1069431178430541824",2018-12-03 03:20:36,"cityofmelbourne","Feel festive tomorrow with Christmas carols at Queen Vic Market, featuring local primary school students. Head to the new Visitor Hub to watch the performances between 11:00am to 11:30am &amp; 12pm to 12:30pm.  
https://t.co/62uV54lx5C https://t.co/YaZjazRM7R","Twitter Web Client",235,,,,FALSE,FALSE,11,1,,,"whatson.melbourne.vic.gov.au/visitors/servi…","https://t.co/62uV54lx5C","https://whatson.melbourne.vic.gov.au/visitors/services/QueenVictoriaMarketVisitorHub/Pages/QueenVictoriaMarketVisitorHub.aspx","http://pbs.twimg.com/media/Dtdh6FZV4AAl2QF.jpg","https://t.co/YaZjazRM7R","https://twitter.com/cityofmelbourne/status/1069431178430541824/photo/1","photo","http://pbs.twimg.com/media/Dtdh6FZV4AAl2QF.jpg","https://t.co/YaZjazRM7R","https://twitter.com/cityofmelbourne/status/1069431178430541824/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069431178430541824","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1069408771489722369",2018-12-03 01:51:34,"cityofmelbourne","Stop by Library at the Dock on Wednesday night and tell us what you’d like to see at Seafarers Rest park. No need to RSVP, just stop by Wednesday from 6-8pm. https://t.co/G4TETD7Vsb https://t.co/vOM1CpuIe8","Twitter Web Client",181,,,,FALSE,FALSE,5,0,,,"participate.melbourne.vic.gov.au/seafarers-rest","https://t.co/G4TETD7Vsb","http://participate.melbourne.vic.gov.au/seafarers-rest","http://pbs.twimg.com/media/DtdNj3jVYAAkVJ4.jpg","https://t.co/vOM1CpuIe8","https://twitter.com/cityofmelbourne/status/1069408771489722369/photo/1","photo","http://pbs.twimg.com/media/DtdNj3jVYAAkVJ4.jpg","https://t.co/vOM1CpuIe8","https://twitter.com/cityofmelbourne/status/1069408771489722369/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069408771489722369","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1069390620358193152",2018-12-03 00:39:26,"cityofmelbourne","This morning Cr @BeverleyPinder  launched the 2018 Victorian Disability Sport and Recreation Festival at Southbank’s Crown Riverwalk. Head down to explore and experience accessible and inclusive sport. It’s on  from 10am - 3pm. https://t.co/KHfYkwqXCH","Twitter for iPhone",227,,,,FALSE,FALSE,3,3,,,,,,"http://pbs.twimg.com/media/Dtc9GQOU4AA0Kuf.jpg","https://t.co/KHfYkwqXCH","https://twitter.com/cityofmelbourne/status/1069390620358193152/photo/1","photo","http://pbs.twimg.com/media/Dtc9GQOU4AA0Kuf.jpg","https://t.co/KHfYkwqXCH","https://twitter.com/cityofmelbourne/status/1069390620358193152/photo/1",,"x465235672","BeverleyPinder","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069390620358193152","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1069326619851001856",2018-12-02 20:25:07,"cityofmelbourne","Jane Harper dreamed up some of her first novel at City Library. Now she's hit the big time.
https://t.co/v2jlr2VxWH https://t.co/T2TJWP86is","Hootsuite Inc.",115,,,,FALSE,FALSE,7,3,,,"magazine.melbourne.vic.gov.au/community-stor…","https://t.co/v2jlr2VxWH","http://magazine.melbourne.vic.gov.au/community-stories/library-lover-to-best-selling-author/","http://pbs.twimg.com/media/DtcC5LeXQAEd9kp.jpg","https://t.co/T2TJWP86is","https://twitter.com/cityofmelbourne/status/1069326619851001856/photo/1","photo","http://pbs.twimg.com/media/DtcC5LeXQAEd9kp.jpg","https://t.co/T2TJWP86is","https://twitter.com/cityofmelbourne/status/1069326619851001856/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1069326619851001856","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1068708329017339904",2018-12-01 03:28:15,"cityofmelbourne","Celebrating A Very Koorie Krismas @FedSquare https://t.co/jiVdIxnfe8","Twitter for iPhone",44,,,,FALSE,FALSE,11,0,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1068708276131360768/pu/img/pcBdDJL5TUUyXQqp.jpg","https://t.co/jiVdIxnfe8","https://twitter.com/cityofmelbourne/status/1068708329017339904/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1068708276131360768/pu/img/pcBdDJL5TUUyXQqp.jpg","https://t.co/jiVdIxnfe8","https://twitter.com/cityofmelbourne/status/1068708329017339904/video/1",,"x34868390","FedSquare","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1068708329017339904","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1068681109762916357",2018-12-01 01:40:06,"cityofmelbourne","Get a taste of Christmas, the Gingerbread Village has opened at Federation Square
https://t.co/wnNc0u30d1 https://t.co/oO2mJUx8Ga","Hootsuite Inc.",105,,,,FALSE,FALSE,13,6,,,"whatsonblog.melbourne.vic.gov.au/guide-christma…","https://t.co/wnNc0u30d1","https://whatsonblog.melbourne.vic.gov.au/guide-christmas-festival/","http://pbs.twimg.com/media/DtS3zjYWsAA8gkk.jpg","https://t.co/oO2mJUx8Ga","https://twitter.com/cityofmelbourne/status/1068681109762916357/photo/1","photo","http://pbs.twimg.com/media/DtS3zjYWsAA8gkk.jpg","https://t.co/oO2mJUx8Ga","https://twitter.com/cityofmelbourne/status/1068681109762916357/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1068681109762916357","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1068649655884529664",2018-11-30 23:35:07,"cityofmelbourne","Sing and splash, bust a rhyme or kick back with cool tunes at our pools this summer. https://t.co/uJ434t96El https://t.co/z2COQsagXu","Hootsuite Inc.",108,,,,FALSE,FALSE,5,3,,,"magazine.melbourne.vic.gov.au/community-stor…","https://t.co/uJ434t96El","http://magazine.melbourne.vic.gov.au/community-stories/sublime-summer-outings/","http://pbs.twimg.com/media/DtSbMrlXQAATCp4.jpg","https://t.co/z2COQsagXu","https://twitter.com/cityofmelbourne/status/1068649655884529664/photo/1","photo","http://pbs.twimg.com/media/DtSbMrlXQAATCp4.jpg","https://t.co/z2COQsagXu","https://twitter.com/cityofmelbourne/status/1068649655884529664/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1068649655884529664","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
"x240421228","x1068454978312855552",2018-11-30 10:41:32,"cityofmelbourne","Federation Square is LIT. Thanks to everyone who came and celebrated the lighting of the Christmas tree.

Make sure you check out our Christmas events. https://t.co/wnNc0ukB4z https://t.co/sHhZGrD6Ou","Twitter for iPhone",175,,,,FALSE,FALSE,92,16,,,"whatsonblog.melbourne.vic.gov.au/guide-christma…","https://t.co/wnNc0ukB4z","https://whatsonblog.melbourne.vic.gov.au/guide-christmas-festival/","http://pbs.twimg.com/ext_tw_video_thumb/1068454838164316160/pu/img/YYmK2xlP1h6GQInN.jpg","https://t.co/sHhZGrD6Ou","https://twitter.com/cityofmelbourne/status/1068454978312855552/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1068454838164316160/pu/img/YYmK2xlP1h6GQInN.jpg","https://t.co/sHhZGrD6Ou","https://twitter.com/cityofmelbourne/status/1068454978312855552/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cityofmelbourne/status/1068454978312855552","City of Melbourne","Melbourne","Business, admin, cultural & recreational hub of Victoria, Australia. https://t.co/a8SqmWy6OT https://t.co/Wfl9TDGjpf","https://t.co/QmXuO2tXNF",FALSE,345689,900,862,8625,2929,2011-01-19 22:08:00,TRUE,"https://t.co/QmXuO2tXNF","http://www.melbourne.vic.gov.au","en","https://pbs.twimg.com/profile_banners/240421228/1543547549","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946561172169310208/D-MQLuj4_normal.jpg","Melbourne"
